Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
selU,['SO_0195'],204956,206086,206086,204956,"205730","356","0.32","False","unambiguous","197_D9","18_C1"
selD,['SO_0196'],206086,207144,207144,206086,"206649, 206650, 207127, 206649","495, 494, 17, 495","0.47, 0.47, 0.02, 0.47","True, True, False, True","ambiguous, ambiguous, unambiguous, ambiguous","111_H5, 6_A7, 335_B7, 111_H5","5_E8, 7_G3, 28_B11, 36_D2"
oel1,['SO_0197'],207241,208347,208347,207241,"208305, 208305, 208158","42, 42, 189","0.04, 0.04, 0.17","True, True, True","unambiguous, unambiguous, unambiguous","295_B11, 295_B3, 289_B3","25_F6, 41_F7, 41_H5"
fabR,['SO_0198'],208491,209105,208491,209105,"208580","89","0.14","False","unambiguous","404_H6","34_G8"
tnpA,['SO_0201'],209230,210389,209230,210389,"209935, 209606, 209314, 210366","705, 376, 84, 1136","0.61, 0.32, 0.07, 0.98","False, True, True, True","unambiguous, ambiguous, unambiguous, unambiguous","72_H4, 87_F2, 156_D3, 256_C6","3_E11, 4_F6, 14_E8, 22_G4"
SO_0202,['SO_0202'],210784,211326,210784,211326,"210969, 211040","185, 256","0.34, 0.47","False, True","unambiguous, unambiguous","203_C8, 248_B3","18_G7, 40_A4"
SO_0203,['SO_0203'],211373,212089,211373,212089,"211419, 211419","46, 46","0.06, 0.06","False, True","unambiguous, unambiguous","361_B5, 361_B3","31_C3, 43_A4"
SO_0204,['SO_0204'],212225,212884,212225,212884,"212305","80","0.12","True","unambiguous","119_D10","5_B12"
SO_0205,['SO_0205'],213120,213560,213120,213560,"213182","62","0.14","False","unambiguous","17_E1","1_H6"
trmA,['SO_0206'],213570,214670,214670,213570,"214467","203","0.18","False","unambiguous","380_G9","32_G9"
murI,['SO_0207'],214813,215634,214813,215634,"","","","","","",""
SO_0208,['SO_0208'],215641,216105,216105,215641,"215906","199","0.43","False","unambiguous","41_D11","9_C1"
rrsB,['SO_r004'],216788,218321,216788,218321,"","","","","","",""
SO_t003,['SO_t003'],218392,218468,218392,218468,"","","","","","",""
SO_t004,['SO_t004'],218607,218682,218607,218682,"","","","","","",""
rrlB,['SO_r005'],218957,221849,218957,221849,"","","","","","",""
rrfB,['SO_r006'],222053,222172,222053,222172,"","","","","","",""
tnpA,['SO_0211'],222335,223361,223361,222335,"223309","52","0.05","True","unambiguous","394_D2","43_E11"
murB,['SO_0213'],223639,224664,223639,224664,"","","","","","",""
birA,['SO_0214'],224657,225616,224657,225616,"225614","957","1.00","True","unambiguous","179_H11","16_A10"
coaA,['SO_0215'],225619,226569,226569,225619,"","","","","","",""
SO_t005,['SO_t005'],226804,226879,226804,226879,"","","","","","",""
SO_t006,['SO_t006'],226887,226971,226887,226971,"","","","","","",""
SO_t007,['SO_t007'],227006,227079,227006,227079,"","","","","","",""
SO_t008,['SO_t008'],227089,227164,227089,227164,"","","","","","",""
tufB,['SO_0217'],227280,228464,227280,228464,"227990","710","0.60","False","unambiguous","105_C10","11_D11"
secE,['SO_0218'],228741,229112,228741,229112,"","","","","","",""
nusG,['SO_0219'],229122,229673,229122,229673,"","","","","","",""
rplK,['SO_0220'],229801,230229,229801,230229,"","","","","","",""
rplA,['SO_0221'],230234,230935,230234,230935,"","","","","","",""
rplJ,['SO_0222'],231201,231701,231201,231701,"","","","","","",""
rplL,['SO_0223'],231756,232124,231756,232124,"","","","","","",""
rpoB,['SO_0224'],232367,236404,232367,236404,"","","","","","",""
rpoC,['SO_0225'],236488,240705,236488,240705,"","","","","","",""
rpsL,['SO_0226'],240885,241259,240885,241259,"","","","","","",""
rpsG,['SO_0227'],241340,241810,241340,241810,"","","","","","",""
fusA,['SO_0228'],241889,243985,241889,243985,"","","","","","",""
tufA,['SO_0229'],244057,245241,244057,245241,"245099","1042","0.88","False","unambiguous","14_E12","1_C5"
rpsJ,['SO_0230'],245573,245884,245573,245884,"","","","","","",""
rplC,['SO_0231'],245912,246550,245912,246550,"","","","","","",""
rplD,['SO_0232'],246568,247173,246568,247173,"","","","","","",""
rplW,['SO_0233'],247170,247475,247170,247475,"","","","","","",""
rplB,['SO_0234'],247492,248316,247492,248316,"","","","","","",""
rpsS,['SO_0235'],248331,248609,248331,248609,"","","","","","",""
rplV,['SO_0236'],248625,248957,248625,248957,"","","","","","",""
rpsC,['SO_0237'],248967,249659,248967,249659,"","","","","","",""
rplP,['SO_0238'],249671,250081,249671,250081,"","","","","","",""
rpmC,['SO_0239'],250081,250272,250081,250272,"","","","","","",""
rpsQ,['SO_0240'],250272,250520,250272,250520,"","","","","","",""
rplN,['SO_0241'],250698,251066,250698,251066,"","","","","","",""
rplX,['SO_0242'],251078,251392,251078,251392,"","","","","","",""
rplE,['SO_0243'],251405,251944,251405,251944,"","","","","","",""
rpsN,['SO_0244'],251955,252260,251955,252260,"","","","","","",""
rpsH,['SO_0245'],252285,252677,252285,252677,"","","","","","",""
rplF,['SO_0246'],252688,253221,252688,253221,"","","","","","",""
rplR,['SO_0247'],253232,253582,253232,253582,"","","","","","",""
rpsE,['SO_0248'],253595,254098,253595,254098,"","","","","","",""
rpmD,['SO_0249'],254105,254287,254105,254287,"","","","","","",""
rplO,['SO_0250'],254291,254725,254291,254725,"","","","","","",""
secY,['SO_0251'],254733,256073,254733,256073,"","","","","","",""
rpmJ,['SO_0252'],256095,256208,256095,256208,"","","","","","",""
rpsM,['SO_0253'],256323,256679,256323,256679,"","","","","","",""
rpsK,['SO_0254'],256694,257086,256694,257086,"","","","","","",""
rpsD,['SO_0255'],257118,257738,257118,257738,"","","","","","",""
rpoA,['SO_0256'],257763,258752,257763,258752,"","","","","","",""
rplQ,['SO_0257'],258793,259188,258793,259188,"","","","","","",""
tnpA,['SO_0258'],259283,260501,259283,260501,"259432, 259848","149, 565","0.12, 0.46","True, True","ambiguous, unambiguous","145_B4, 94_B7","36_E11, 46_D1"
ccmE,['SO_0259'],260541,261026,261026,260541,"260989","37","0.08","False","unambiguous","172_C12","16_E1"
ccmD,['SO_0260'],261023,261223,261223,261023,"","","","","","",""
ccmC,['SO_0261'],261223,261969,261969,261223,"261887, 261887, 261485","82, 82, 484","0.11, 0.11, 0.65","True, True, True","unambiguous, unambiguous, unambiguous","289_B8, 289_B3, 296_B3","24_E12, 41_H5, 41_H7"
ccmB,['SO_0262'],261971,262657,262657,261971,"262546","111","0.16","True","unambiguous","126_D7","13_E1"
ccmA,['SO_0263'],262669,263319,263319,262669,"263060","259","0.40","False","unambiguous","354_A8","30_F7"
scyA,['SO_0264'],263645,263944,263645,263944,"263659","14","0.05","False","unambiguous","175_D12","16_G3"
ccmI,['SO_0265'],264025,265272,265272,264025,"264790","482","0.39","False","unambiguous","251_D5","21_F12"
ccmF,['SO_0266'],265671,267650,265671,267650,"265748, 266863, 267608, 266197","77, 1192, 1937, 526","0.04, 0.60, 0.98, 0.27","False, True, True, True","unambiguous, unambiguous, unambiguous, unambiguous","167_B7, 416_A11, 280_B3, 378_A7","15_F8, 35_B8, 41_A3, 43_H7"
ccmG,['SO_0267'],267662,268216,267662,268216,"267947","285","0.51","False","unambiguous","100_A7","5_C2"
ccmH,['SO_0268'],268213,268692,268213,268692,"268336","123","0.26","False","unambiguous","224_E9","20_D1"
SO_0269,['SO_0269'],268689,269273,268689,269273,"268784","95","0.16","False","unambiguous","105_H2","5_A6"
rrsC,['SO_r007'],269814,271347,269814,271347,"","","","","","",""
rrlC,['SO_r008'],271658,274551,271658,274551,"","","","","","",""
rrfC,['SO_r009'],274755,274874,274755,274874,"","","","","","",""
pncC,['SO_0272'],275264,276538,275264,276538,"275686, 275384","422, 120","0.33, 0.09","True, False","ambiguous, unambiguous","289_G12, 363_C5","24_H12, 31_A5"
SO_0273,['SO_0273'],276635,277180,277180,276635,"277084, 277084","96, 96","0.18, 0.18","True, False","ambiguous, ambiguous","399_B11, 399_A11","34_C4, 44_F1"
ppc,['SO_0274'],277180,279849,279849,277180,"279584, 279584, 279439, 279782, 278277, 279293, 279584, 279293","265, 265, 410, 67, 1572, 556, 265, 556","0.10, 0.10, 0.15, 0.03, 0.59, 0.21, 0.10, 0.21","True, True, True, False, True, True, True, True","ambiguous, ambiguous, ambiguous, ambiguous, unambiguous, ambiguous, ambiguous, ambiguous","250_A2, 250_A4, 254_G6, 298_E12, 146_B3, 166_H10, 187_A2, 208_G10","21_E11, 21_F11, 22_F3, 25_H9, 36_A12, 37_D8, 38_A4, 39_C1"
argC,['SO_0275'],280524,281504,280524,281504,"280620, 280620","96, 96","0.10, 0.10","True, True","unambiguous, unambiguous","24_B10, 24_B3","1_E11, 39_E12"
argB,['SO_0276'],281536,282318,281536,282318,"281559","23","0.03","False","unambiguous","409_G9","35_D2"
argF,['SO_0277'],282331,283236,282331,283236,"282511, 282484","180, 153","0.20, 0.17","True, True","unambiguous, unambiguous","268_F5, 192_A10","23_C4, 38_A6"
argG,['SO_0278'],283296,284519,283296,284519,"283358","62","0.05","False","unambiguous","189_A4","38_F4"
argH,['SO_0279'],284611,285978,284611,285978,"285183","572","0.42","False","unambiguous","102_D4","5_E3"
mcrA,['SO_0280'],286053,288572,288572,286053,"286089, 288496","2483, 76","0.99, 0.03","True, False","ambiguous, unambiguous","87_A3, 28_A1","4_C6, 8_D5"
pilM,['SO_0281'],288762,289841,288762,289841,"289839, 288849, 289682","1077, 87, 920","1.00, 0.08, 0.85","False, False, True","unambiguous, unambiguous, unambiguous","111_G2, 167_A4, 323_B3","5_B8, 15_E8, 42_C4"
pilN,['SO_0282'],289829,290413,289829,290413,"289839","10","0.02","False","unambiguous","111_G2","5_B8"
pilO,['SO_0283'],290410,291030,290410,291030,"291016, 290555","606, 145","0.98, 0.23","False, True","unambiguous, ambiguous","20_F10, 139_H4","1_A9, 13_B9"
pilP,['SO_0284'],291030,291545,291030,291545,"291098","68","0.13","False","unambiguous","119_A2","36_C4"
pilQ,['SO_0285'],291567,293621,291567,293621,"291703, 293508, 293508, 293508, 293108, 292316","136, 1941, 1941, 1941, 1541, 749","0.07, 0.94, 0.94, 0.94, 0.75, 0.36","False, True, True, True, True, True","unambiguous, ambiguous, ambiguous, ambiguous, ambiguous, unambiguous","342_D5, 364_E4, 385_E11, 385_E6, 162_A11, 346_H5","29_C7, 31_A6, 33_B4, 33_C4, 37_A7, 42_B11"
aroK,['SO_0286'],293841,294356,293841,294356,"","","","","","",""
aroB,['SO_0287'],294362,295441,294362,295441,"294603, 294397, 294552","241, 35, 190","0.22, 0.03, 0.18","False, True, True","unambiguous, ambiguous, ambiguous","5_G2, 349_C10, 368_B3","1_H1, 30_H2, 43_D5"
damX,['SO_0288'],295460,296872,295460,296872,"295545, 295506","85, 46","0.06, 0.03","False, True","unambiguous, unambiguous","211_F5, 227_C12","19_E2, 20_G3"
dam,['SO_0289'],296921,297760,296921,297760,"","","","","","",""
SO_0290,['SO_0290'],297793,297978,297978,297793,"","","","","","",""
SO_0291,['SO_0291'],297978,298343,298343,297978,"298292","51","0.14","False","ambiguous","207_B11","38_G12"
rpe,['SO_0292'],298606,299283,298606,299283,"","","","","","",""
gph,['SO_0293'],299283,299966,299283,299966,"299695","412","0.60","False","unambiguous","41_F6","2_F8"
trpS,['SO_0294'],300003,301001,300003,301001,"","","","","","",""
SO_0295,['SO_0295'],301109,301993,301993,301109,"301202, 301581","791, 412","0.89, 0.47","True, True","unambiguous, unambiguous","411_E11, 36_H2","35_E3, 43_C3"
SO_0296,['SO_0296'],302102,303025,302102,303025,"302152, 302151","50, 49","0.05, 0.05","True, True","ambiguous, ambiguous","240_C2, 88_G3","40_C1, 45_E10"
SO_0297,['SO_0297'],303044,303610,303610,303044,"303374","236","0.42","False","unambiguous","265_D9","22_G12"
gmhA,['SO_0298'],303607,304200,304200,303607,"303822","378","0.64","False","unambiguous","146_H3","14_H1"
SO_0299,['SO_0299'],304307,304633,304633,304307,"","","","","","",""
lppC,['SO_0300'],304630,306489,306489,304630,"306465","24","0.01","True","unambiguous","362_A1","43_C4"
rsmI,['SO_0301'],306578,307423,306578,307423,"306871","293","0.35","True","unambiguous","95_C7","4_C11"
rnpB,['SO_m001'],307499,307852,307499,307852,"","","","","","",""
SO_0302,['SO_0302'],307975,308481,308481,307975,"308390, 308150","91, 331","0.18, 0.65","False, True","unambiguous, unambiguous","356_E6, 296_B3","30_C10, 41_H7"
SO_0304,['SO_0304'],309390,310352,309390,310352,"310062, 309677, 310062, 309677, 310066","672, 287, 672, 287, 676","0.70, 0.30, 0.70, 0.30, 0.70","True, False, True, True, True","ambiguous, unambiguous, ambiguous, unambiguous, unambiguous","16_E1, 159_F1, 310_E1, 159_A1, 386_B3","1_D6, 15_D1, 27_G1, 37_F5, 43_H9"
SO_0306,['SO_0306'],311176,312813,312813,311176,"312617","196","0.12","False","unambiguous","62_A1","9_C11"
SO_0308,['SO_0308'],312988,314208,314208,312988,"314011, 314011","197, 197","0.16, 0.16","False, True","ambiguous, ambiguous","293_G3, 356_G3","25_A5, 30_D10"
SO_0309,['SO_0309'],314364,314762,314364,314762,"314481, 314480","117, 116","0.29, 0.29","False, True","unambiguous, ambiguous","125_H9, 315_B3","6_D3, 42_F1"
ygiQ,['SO_0311'],314976,317336,314976,317336,"315121, 315121, 315046","145, 145, 70","0.06, 0.06, 0.03","True, True, True","unambiguous, unambiguous, ambiguous","175_G2, 175_G2, 7_A3","16_E4, 37_D11, 45_E5"
SO_0312,['SO_0312'],317544,318698,318698,317544,"318416, 318304, 318304","282, 394, 394","0.24, 0.34, 0.34","False, True, True","unambiguous, unambiguous, unambiguous","11_H5, 304_B3, 304_B3","7_C7, 41_B11, 41_C11"
potE,['SO_0313'],318823,320142,320142,318823,"319433, 320089, 319782, 320089","709, 53, 360, 53","0.54, 0.04, 0.27, 0.04","True, True, False, True","ambiguous, ambiguous, unambiguous, ambiguous","62_C12, 185_D11, 230_E8, 332_D11","3_F5, 17_B2, 20_D6, 28_D8"
speF,['SO_0314'],320226,322388,322388,320226,"321663, 320358, 320319, 320248, 320390, 320390, 321598, 322169","725, 2030, 2069, 2140, 1998, 1998, 790, 219","0.34, 0.94, 0.96, 0.99, 0.92, 0.92, 0.37, 0.10","True, True, True, True, True, True, True, True","unambiguous, unambiguous, ambiguous, ambiguous, ambiguous, ambiguous, ambiguous, unambiguous","84_H10, 161_H6, 184_C6, 180_B3, 237_B3, 237_B3, 325_G4, 396_H11","10_G10, 15_A4, 38_A3, 38_G1, 39_C11, 39_D11, 42_H4, 43_H12"
SO_4761,['SO_4761'],322698,322802,322802,322698,"","","","","","",""
ybcL,['SO_0316'],323284,323832,323284,323832,"323556","272","0.50","False","unambiguous","24_G12","8_G2"
SO_0317,['SO_0317'],323850,324608,323850,324608,"324242, 324002","392, 152","0.52, 0.20","True, False","unambiguous, unambiguous","368_G7, 145_H3","31_F10, 36_D11"
SO_0318,['SO_0318'],324640,324990,324640,324990,"324870","230","0.66","False","unambiguous","300_G8","41_B10"
SO_0319,['SO_0319'],325169,326563,325169,326563,"325689, 326547","520, 1378","0.37, 0.99","False, True","unambiguous, unambiguous","286_E4, 338_H7","24_A10, 29_F3"
SO_0320,['SO_0320'],326565,327602,326565,327602,"326634","69","0.07","True","unambiguous","323_B3","42_C4"
SO_0321,['SO_0321'],327699,328301,327699,328301,"328062","363","0.60","False","unambiguous","352_D8","30_E6"
SO_0322,['SO_0322'],328401,328982,328982,328401,"328960","22","0.04","False","unambiguous","73_C6","10_E6"
SO_0323,['SO_0323'],329121,330053,330053,329121,"329969","84","0.09","True","ambiguous","350_A2","42_E12"
ygbA,['SO_0324'],330108,330509,330509,330108,"330373","136","0.34","True","unambiguous","280_A9","24_C3"
ychN,['SO_0325'],330614,330973,330973,330614,"330909","64","0.18","True","unambiguous","322_H2","27_E12"
SO_0326,['SO_0326'],331225,332148,331225,332148,"331798, 331594","573, 369","0.62, 0.40","False, True","unambiguous, unambiguous","54_E2, 354_A6","3_F1, 43_G1"
SO_0329,['SO_0329'],332337,332699,332337,332699,"332455","118","0.33","False","unambiguous","28_G12","2_D2"
SO_0330,['SO_0330'],332721,334175,332721,334175,"333822, 333822, 332867, 332867, 333455","1101, 1101, 146, 146, 734","0.76, 0.76, 0.10, 0.10, 0.50","True, True, True, False, True","ambiguous, ambiguous, ambiguous, ambiguous, unambiguous","170_H8, 191_A8, 368_F11, 263_F11, 371_E5","15_C12, 17_G7, 31_C10, 40_B10, 43_A6"
SO_0331,['SO_0331'],334187,334480,334187,334480,"334378, 334214, 334214","191, 27, 27","0.65, 0.09, 0.09","True, True, True","unambiguous, ambiguous, ambiguous","42_H5, 280_F11, 407_F11","9_H1, 41_G2, 44_D6"
rdoA,['SO_0332'],334521,335558,334521,335558,"","","","","","",""
dsbA,['SO_0333'],335685,336293,335685,336293,"336259","574","0.94","False","unambiguous","113_F12","5_B9"
SO_0334,['SO_0334'],336742,336954,336742,336954,"336780","38","0.18","False","unambiguous","409_H1","44_C7"
zapB,['SO_0335'],336951,337172,337172,336951,"","","","","","",""
SO_0336,['SO_0336'],337352,338875,337352,338875,"337465, 338470, 338271","113, 1118, 919","0.07, 0.73, 0.60","False, True, True","unambiguous, unambiguous, unambiguous","333_H4, 248_G12, 313_B3","28_G9, 40_H3, 42_B1"
SO_0337,['SO_0337'],338932,339288,338932,339288,"338992, 339159","60, 227","0.17, 0.64","False, True","unambiguous, ambiguous","91_C8, 152_F2","4_D8, 37_H2"
SO_0338,['SO_0338'],339476,339811,339811,339476,"339744, 339627, 339584","67, 184, 227","0.20, 0.55, 0.68","False, True, True","unambiguous, unambiguous, unambiguous","144_E12, 221_B3, 285_B3","13_F11, 39_C6, 41_D4"
rofA,['SO_0339'],339829,340101,340101,339829,"","","","","","",""
ilvE,['SO_0340'],340328,341419,340328,341419,"340426, 340340","98, 12","0.09, 0.01","True, True","unambiguous, unambiguous","212_F3, 138_A7","19_F3, 36_H8"
SO_0341,['SO_0341'],341460,346007,346007,341460,"345995","12","0.00","False","unambiguous","367_F3","31_B9"
prpF,['SO_0342'],346264,347457,347457,346264,"347250, 346329, 346329","207, 1128, 1128","0.17, 0.95, 0.95","False, True, True","unambiguous, unambiguous, unambiguous","379_A11, 396_B3, 396_B3","32_A8, 44_A1, 44_B1"
acnD,['SO_0343'],347544,350147,350147,347544,"349869, 350002","278, 145","0.11, 0.06","True, False","unambiguous, unambiguous","49_C7, 92_H12","9_D5, 45_F12"
prpC,['SO_0344'],350228,351355,351355,350228,"351291","64","0.06","False","unambiguous","222_A7","19_C11"
prpB,['SO_0345'],351590,352468,352468,351590,"352312","156","0.18","False","unambiguous","107_C7","12_B1"
prpR,['SO_0346'],352532,353296,353296,352532,"353267","29","0.04","False","unambiguous","395_H9","33_G12"
SO_0347,['SO_0347'],353751,354692,354692,353751,"354377","315","0.33","False","ambiguous","131_H12","13_B5"
SO_0348,['SO_0348'],354700,355602,355602,354700,"355579","23","0.03","False","unambiguous","242_C12","21_A5"
yifB,['SO_0349'],355703,357229,357229,355703,"356570, 356982","659, 247","0.43, 0.16","True, False","unambiguous, unambiguous","299_C3, 287_G9","25_F11, 41_B5"
SO_0350,['SO_0350'],357446,358561,357446,358561,"357535","89","0.08","False","unambiguous","264_H5","22_C12"
SO_0351,['SO_0351'],358578,359174,359174,358578,"358975","199","0.33","True","unambiguous","224_F10","39_D7"
SO_0352,['SO_0352'],359174,360253,360253,359174,"360132","121","0.11","False","unambiguous","236_F6","20_B12"
SO_0353,['SO_0353'],360341,361039,361039,360341,"360940","99","0.14","False","unambiguous","283_A3","24_B7"
yrbG,['SO_0354'],361225,362175,362175,361225,"361906","269","0.28","False","unambiguous","143_F2","13_A11"
SO_0355,['SO_0355'],362346,364010,364010,362346,"363601","409","0.25","False","unambiguous","312_H2","27_A5"
SO_0357,['SO_0357'],364364,367647,364364,367647,"364372, 367019","8, 2655","0.00, 0.81","True, True","unambiguous, ambiguous","214_D7, 250_F8","19_H4, 40_G5"
tnpA,['SO_0356'],364485,365687,364485,365687,"","","","","","",""
SO_0358,['SO_0358'],367847,368230,368230,367847,"368176","54","0.14","True","unambiguous","376_B3","43_B7"
spoT,['SO_0359'],368255,370360,370360,368255,"369190","1170","0.56","False","unambiguous","318_F12","27_E9"
rpoZ,['SO_0360'],370404,370682,370682,370404,"370665","17","0.06","False","unambiguous","15_F2","37_B1"
gmk,['SO_0361'],370741,371364,371364,370741,"370767","597","0.96","False","unambiguous","275_F6","23_E10"
SO_0362,['SO_0362'],372003,373493,372003,373493,"372129","126","0.08","False","unambiguous","153_E12","14_G6"
SO_0363,['SO_0363'],373652,374533,373652,374533,"373658, 373658","6, 6","0.01, 0.01","True, True","ambiguous, ambiguous","271_B7, 259_H7","23_D6, 40_G8"
SO_0364,['SO_0364'],374541,375581,374541,375581,"374725, 374604, 375472","184, 63, 931","0.18, 0.06, 0.90","True, False, True","unambiguous, unambiguous, unambiguous","409_F9, 38_G5, 407_B10","35_C2, 43_D8, 44_C6"
